"unigram","bigram","trigram","freq"
"well","in","florida",20
"well","what","would",20
"what","is","this",20
"when","i","went",20
"where","i","was",20
"where","there","is",20
"whole","bag","of",20
"wish","i","could",20
"wish","i","had",20
"wish","me","luck",20
"with","all","the",20
"with","the","big",20
"would","never","do",20
"ya","shouldas","off",20
"yep","now","do",20
"you","like","for",20
"a","couple","days",19
"a","full","year",19
"a","fulltime","semester",19
"a","good","day",19
"a","good","idea",19
"a","new","song",19
"a","nice","assist",19
"a","problem","with",19
"a","sense","of",19
"a","series","of",19
"a","turn","on",19
"able","to","do",19
"ahead","do","towards",19
"all","of","this",19
"already","clogged","we",19
"an","area","for",19
"and","all","but",19
"and","do","it",19
"and","find","mejosh",19
"and","i","know",19
"and","i","were",19
"and","if","it",19
"and","my","friend",19
"and","the","day",19
"and","then","she",19
"anyone","else","having",19
"apologies","for","the",19
"are","a","full",19
"are","in","the",19
"are","two","of",19
"are","you","referring",19
"as","it","was",19
"ashley","and","i",19
"assist","on","that",19
"astros","run","earlier",19
"at","least","not",19
"atlanta","now","on",19
"be","just","like",19
"because","of","his",19
"been","up","to",19
"better","than","expected",19
"book","it","looks",19
"but","in","the",19
"by","running","mi",19
"can","anyone","help",19
"changed","my","life",19
"check","out","our",19
"choose","the","mba",19
"clients","when","they",19
"clogged","we","just",19
"come","and","find",19
"couple","days","ago",19
"cruise","lines","that",19
"do","at","least",19
"do","towards","the",19
"else","having","a",19
"end","of","march",19
"even","if","you",19
"expected","yesterday","longest",19
"feel","like","a",19
"feels","like","i",19
"find","mejosh","ritter",19
"follow","nyc","or",19
"for","a","few",19
"for","a","year",19
"from","last","night",19
"full","year","those",19
"fulltime","semester","in",19
"go","ahead","do",19
"had","a","dream",19
"happens","rt","is",19
"has","the","same",19
"have","had","that",19
"have","no","idea",19
"have","the","best",19
"have","to","come",19
"having","a","problem",19
"i","already","love",19
"i","am","only",19
"i","could","use",19
"i","feel","that",19
"i","get","on",19
"i","hope","you",19
"i","think","the",19
"i","used","a",19
"i","would","have",19
"if","i","have",19
"if","i","was",19
"if","it","is",19
"if","you","had",19
"if","you","need",19
"ill","go","ahead",19
"in","a","way",19
"in","atlanta","now",19
"is","anyone","else",19
"is","the","day",19
"is","what","you",19
"it","looks","beautiful",19
"ive","ran","since",19
"just","moved","in",19
"know","how","it",19
"know","that","this",19
"last","night","and",19
"least","not","for",19
"life","is","what",19
"like","you","how",19
"lines","that","poach",19
"london","with","a",19
"longest","ive","ran",19
"looks","beautiful","xo",19
"makes","me","want",19
"may","maybe","ill",19
"maybe","ill","go",19
"mba","follow","nyc",19
"mi","better","than",19
"more","than","a",19
"motivated","by","running",19
"moved","in","a",19
"much","of","the",19
"need","more","coffee",19
"need","to","bring",19
"need","to","do",19
"nice","assist","on",19
"no","school","today",19
"now","on","my",19
"nyc","or","london",19
"of","love","if",19
"of","my","favorites",19
"of","our","placements",19
"of","our","toilets",19
"of","the","fact",19
"of","the","new",19
"of","the","public",19
"on","my","mind",19
"on","that","astros",19
"on","your","team",19
"one","of","these",19
"or","london","with",19
"our","placements","are",19
"our","toilets","already",19
"out","to","be",19
"over","the","last",19
"pair","of","jeans",19
"part","of","his",19
"pick","it","up",19
"pie","book","it",19
"placements","are","a",19
"poach","your","clients",19
"power","of","the",19
"problem","with","cruise",19
"ran","since","may",19
"rebook","on","board",19
"rt","is","anyone",19
"running","mi","better",19
"see","the","pie",19
"semester","in","bangkok",19
"since","may","maybe",19
"so","i","could",19
"so","thankful","for",19
"still","on","the",19
"such","a","thing",19
"such","a","turn",19
"than","expected","yesterday",19
"thanks","ashley","and",19
"that","astros","run",19
"that","changed","my",19
"that","happens","rt",19
"that","it","would",19
"that","poach","your",19
"that","this","is",19
"the","day","of",19
"the","design","team",19
"the","mba","follow",19
"the","most","amazing",19
"the","national","anthem",19
"the","other","room",19
"the","past","months",19
"the","pie","book",19
"the","safety","of",19
"the","same","as",19
"the","time","to",19
"the","use","of",19
"the","way","from",19
"the","way","i",19
"they","are","not",19
"they","rebook","on",19
"think","i","did",19
"those","who","choose",19
"to","admit","that",19
"to","all","of",19
"to","be","just",19
"to","find","the",19
"to","make","any",19
"to","my","friend",19
"together","in","a",19
"toilets","already","clogged",19
"told","me","how",19
"two","of","our",19
